epoch,train_loss,train_supervised,train_consistency,train_cos,train_amp,train_grad,train_emd,val_clean_loss,val_clean_fidelity,val_noisy_loss,val_noisy_cos,val_noisy_amp,val_noisy_grad,val_noisy_emd,val_noisy_fidelity,val_single_clean_loss,val_single_clean_peak_mae_pm,val_single_clean_accuracy_5bin,val_single_noisy_loss,val_single_noisy_fidelity,val_single_noisy_peak_mae_pm,val_single_noisy_peak_rmse_pm,val_single_noisy_accuracy_1bin,val_single_noisy_accuracy_2bin,val_single_noisy_accuracy_5bin,val_sparse_noisy_loss,val_sparse_noisy_fidelity,val_doublet_noisy_loss,val_doublet_noisy_fidelity,val_continuous_noisy_loss,val_continuous_noisy_fidelity,ideal_scan_mae_pm,ideal_scan_accuracy_5bin,ideal_scan_catastrophic_over_1nm,selection_score,learning_rate,epoch_seconds
1,1.8200354872369766,1.8188778033781052,0.005788419340595428,0.7598778242921829,0.5136226672161743,0.00617735756544862,0.12454763360098005,1.275091493036598,0.2731970533041922,1.281083820387721,0.7269804356619716,0.2710326406140666,0.0066525538113637595,0.04549139244045364,0.2730195632020562,1.000345604494214,4301.152270287275,0.015625,1.000345878303051,0.022089469770435244,4300.996024161577,6402.01121065099,0.00390625,0.0078125,0.015625,1.034801196306944,0.057536057429388165,0.9921223074197769,0.034288131617358886,2.094713769853115,0.9736952912062407,4266.365605728497,0.018996833861023164,4756,3.273617198690772,0.001,139.6817909
2,1.1290340857982635,1.1272932974863052,0.008703941538454964,0.6462275808668136,0.23542657536696643,0.006300038135610521,0.03833024990815669,0.9016254115849733,0.4629051795345731,0.9172498602420092,0.5374543047510087,0.18634444824965612,0.004703400765265542,0.026545280729578735,0.4625456956564449,0.7762768473476171,240.99608737742528,0.779296875,0.7766310255974531,0.23100307071581483,239.6679631783627,763.4380659277539,0.34375,0.552734375,0.78125,0.7810577545315027,0.2916474621742964,0.6900502592325211,0.32139092264696956,1.4361894018948078,0.9868732187896967,4266.365605728497,0.018996833861023164,4756,2.1411465108394623,0.001,115.33048939999998
3,0.8370928625297547,0.8352972933340073,0.008977847070544958,0.4868773927688599,0.17063297984141856,0.0043449573968630285,0.026877780223619193,0.7475651658605784,0.5494900674384553,0.7677210776600987,0.45074168173596263,0.1552661880832602,0.004021614987777866,0.024179443619232188,0.5492583203013055,0.6543059926480055,164.86327812890522,0.880859375,0.6544212978333235,0.35145546961575747,164.99999634106643,688.5863406603592,0.63671875,0.802734375,0.880859375,0.6527784429490566,0.41282175946980715,0.5421359026804566,0.46713481843471527,1.1960187125951052,0.9912913851439953,4266.365605728497,0.018996833861023164,4756,1.6194080004934222,0.001,114.79086000000001
4,0.7044103333592415,0.7026654304671287,0.008724513346748427,0.4050596367883682,0.14567904132166878,0.0036179128733556717,0.02354367951445747,0.6413347476627678,0.6109130646012808,0.6601386142428964,0.38946686778217554,0.13234364856725733,0.0034690031761783757,0.022550201114654556,0.6105331322538189,0.5638872776180506,69.04297025175765,0.9453125,0.5636282954365015,0.4407051969319582,68.86718844179995,474.5219357483703,0.794921875,0.8984375,0.9453125,0.5554829724133015,0.5046402951702476,0.4355446510016918,0.5721113840118051,1.0522915925830603,0.9930090550333261,4266.365605728497,0.018996833861023164,4756,1.325329409679398,0.001,114.43111970000001
5,0.6091299383258819,0.6073825402188301,0.008736988606378436,0.3431013805580139,0.12926848250010983,0.0032006022226857022,0.021696538837486876,0.5609330970328301,0.6659928026201669,0.5863793245516717,0.33467582054436207,0.12297206135372107,0.003041678070303533,0.021820871364070626,0.6653241790190805,0.47530633863061666,25.253904816054273,0.98046875,0.47563409619033337,0.527327929623425,25.35156123485649,191.11207319780803,0.884765625,0.953125,0.98046875,0.4946604063734412,0.562369866296649,0.3716244036331773,0.6347763426601887,0.9711280018091202,0.9942322112619877,24.932511248102635,0.9775037493751042,43,1.108888420742005,0.001,113.51734489999996
6,0.5444490322089195,0.542705243692398,0.008718942314712331,0.298623767080307,0.11930569585214369,0.0028716214467817917,0.020731690331464634,0.5038178263930604,0.7007458057487383,0.5299294491996989,0.3000060832127929,0.11220324540795446,0.002747190828586099,0.02096860981316695,0.6999939167289995,0.4175377506762743,11.425780692661647,0.9921875,0.4179539866745472,0.5843537971377373,11.367186936695362,73.22375504104315,0.94140625,0.978515625,0.9921875,0.45939233992248774,0.5971663873642683,0.34572255285456777,0.6602320615202188,0.8992058448493481,0.995124077424407,24.932511248102635,0.9775037493751042,43,0.9693678108742461,0.001,113.8648905
7,0.5014040614771843,0.4996431735920906,0.00880443960967008,0.2710110290288925,0.11167683676084504,0.002655406626958866,0.02005171939211548,0.47356863622553647,0.735438420670107,0.4960153658175841,0.2655168646015227,0.11251931857918862,0.0025696439900002588,0.020811613581543043,0.7344831353984773,0.3988994434475899,4.94140608861926,1.0,0.3997892336919904,0.602427376434207,47.148437919531716,955.0690419254586,0.96484375,0.990234375,0.998046875,0.4133407985791564,0.6397286392748356,0.3160676844418049,0.689466604962945,0.9061410278081894,0.9953018184751272,24.932511248102635,0.9775037493751042,43,0.9055702245095745,0.001,114.72605839999994
8,0.4709719695210457,0.4691953916347027,0.008882889518840238,0.2498817313671112,0.10710618784802965,0.002463999465040397,0.01941953758114716,0.42538756679277867,0.7508351097349077,0.4632426374591887,0.25054505839943886,0.10385594686522381,0.0024399577580425102,0.018966742893951505,0.7494549416005611,0.3403775808401406,16.13281314348569,0.99609375,0.3401483269408345,0.6614153534173965,16.171875646250555,227.20446489922432,0.978515625,0.9921875,0.99609375,0.38299079425632954,0.6691737193614244,0.31807381147518754,0.6875961534678936,0.8129658903926611,0.9960250221192837,24.932511248102635,0.9775037493751042,43,0.8112034644000232,0.001,114.19755709999993
9,0.44800959844589233,0.4461830415415764,0.009132784579014406,0.23440039005756377,0.10340771909377537,0.0023289734927588145,0.0189372650091222,0.4037642104085535,0.7673293529078364,0.4337656297720969,0.23368602758273482,0.09748121617894867,0.002239673335907355,0.019572808263603747,0.7663139724172652,0.3259390196762979,3.398437380383257,1.0,0.3275959505699575,0.6738964710384607,3.2617186443530954,6.2967003584544505,0.986328125,0.99609375,1.0,0.3541424348950386,0.6960552297532558,0.3164597894065082,0.6891214158385992,0.792392160743475,0.9963245075196028,24.932511248102635,0.9775037493751042,43,0.7652678303420544,0.001,114.61974050000003
10,0.4307324480712414,0.4288220064806938,0.009552208485836162,0.22351119308948517,0.10024750341606327,0.002218206094810739,0.018375944839061704,0.3897762839915231,0.7781343185342848,0.41785803076345474,0.22293667681515217,0.09509636303721436,0.00219560581854239,0.01803627041201139,0.7770633231848478,0.27565974090248346,2.929687390860636,0.998046875,0.2763155708089471,0.7249481361359358,2.9101561340212356,6.075694237964624,0.982421875,0.99609375,1.0,0.34401423390954733,0.7043597437441349,0.3282151580788195,0.677638653665781,0.7611667774617672,0.9965064283460379,8.63022829527627,0.9983336110648225,3,0.6980798515724018,0.001,114.44570989999988
