wavelength_nm,relative_intensity
1522.9,0.25701955
1522.91,0.25631016
1522.92,0.25632495
1522.93,0.25965047
1522.94,0.2555615
1522.95,0.25744832
1522.96,0.25588298
1522.97,0.25976348
1522.98,0.2554375
1522.99,0.2550673
1523.0,0.25360897
1523.01,0.255463
1523.02,0.25126648
1523.03,0.2523698
1523.04,0.2546528
1523.05,0.25282732
1523.06,0.2534738
1523.07,0.25018352
1523.08,0.24887964
1523.09,0.24906078
1523.1,0.24937764
1523.11,0.24925244
1523.12,0.24726853
1523.13,0.24700977
1523.14,0.24828029
1523.15,0.24349299
1523.16,0.24522609
1523.17,0.24291107
1523.18,0.24198058
1523.19,0.24382801
1523.2,0.24468714
1523.21,0.24389239
1523.22,0.24185011
1523.23,0.23764464
1523.24,0.24215078
1523.25,0.2371374
1523.26,0.2327301
1523.27,0.23707643
1523.28,0.2346419
1523.29,0.23736398
1523.3,0.23756142
1523.31,0.23817891
1523.32,0.23580979
1523.33,0.2353917
1523.34,0.23535678
1523.35,0.23656896
1523.36,0.23211215
1523.37,0.23259245
1523.38,0.22996922
1523.39,0.22803994
1523.4,0.22666638
1523.41,0.23135749
1523.42,0.22950321
1523.43,0.23247498
1523.44,0.2298819
1523.45,0.22610806
1523.46,0.22621772
1523.47,0.22977632
1523.48,0.22909175
1523.49,0.22866644
1523.5,0.22825779
1523.51,0.22844839
1523.52,0.22675121
1523.53,0.22412771
1523.54,0.22302507
1523.55,0.22403003
1523.56,0.2238761
1523.57,0.22527681
1523.58,0.2268732
1523.59,0.22587012
1523.6,0.2231386
1523.61,0.22235598
1523.62,0.22170393
1523.63,0.21804903
1523.64,0.2158216
1523.65,0.21598484
1523.66,0.21999334
1523.67,0.21755625
1523.68,0.21817656
1523.69,0.21596739
1523.7,0.21713726
1523.71,0.21686853
1523.72,0.21599495
1523.73,0.21603417
1523.74,0.21828394
1523.75,0.21877454
1523.76,0.21880646
1523.77,0.2183393
1523.78,0.21254614
1523.79,0.21386276
1523.8,0.21533014
1523.81,0.2144908
1523.82,0.21769513
1523.83,0.21765181
1523.84,0.2144599
1523.85,0.21571611
1523.86,0.21544454
1523.87,0.2146747
1523.88,0.214147
1523.89,0.21381168
1523.9,0.21439283
1523.91,0.21524236
1523.92,0.21636929
1523.93,0.2140597
1523.94,0.21590386
1523.95,0.2123266
1523.96,0.21409453
1523.97,0.21384826
1523.98,0.21669434
1523.99,0.21503755
1524.0,0.21047291
1524.01,0.21681672
1524.02,0.2196173
1524.03,0.21701398
1524.04,0.21935567
1524.05,0.21811557
1524.06,0.21584101
1524.07,0.21637477
1524.08,0.21180452
1524.09,0.21305667
1524.1,0.20963073
1524.11,0.21132387
1524.12,0.21078853
1524.13,0.21250094
1524.14,0.2124672
1524.15,0.21361859
1524.16,0.21424581
1524.17,0.21728918
1524.18,0.21563931
1524.19,0.2128404
1524.2,0.21415803
1524.21,0.21101382
1524.22,0.21090929
1524.23,0.2140806
1524.24,0.21337904
1524.25,0.21452722
1524.26,0.21304184
1524.27,0.2123026
1524.28,0.21599004
1524.29,0.21227856
1524.3,0.21246812
1524.31,0.21117146
1524.32,0.2109152
1524.33,0.21275209
1524.34,0.21279576
1524.35,0.21064916
1524.36,0.214224
1524.37,0.21289429
1524.38,0.2135423
1524.39,0.21094733
1524.4,0.21495892
1524.41,0.21276076
1524.42,0.21086384
1524.43,0.2123316
1524.44,0.21377116
1524.45,0.21754646
1524.46,0.21852972
1524.47,0.21674326
1524.48,0.21596017
1524.49,0.22014016
1524.5,0.22066724
1524.51,0.21822119
1524.52,0.2167942
1524.53,0.21519521
1524.54,0.21584034
1524.55,0.21186805
1524.56,0.21523823
1524.57,0.21200912
1524.58,0.21459933
1524.59,0.21489742
1524.6,0.21493672
1524.61,0.21514365
1524.62,0.21350168
